AREA,Vict Age,Vict Descent,Crm Cd,Premis Cd,Status,dayofweek,day,month,Vict_Sex_F,Vict_Sex_M,Vict_Sex_X
16,46,7,661,501,4,1,2,8,1,0,0
17,55,7,310,501,4,5,22,1,0,1,0
21,35,18,310,402,4,6,24,7,0,1,0
19,19,7,761,405,4,2,20,7,0,1,0
16,45,17,310,203,4,0,30,5,0,1,0
3,20,18,230,101,4,6,28,8,0,0,1
7,53,17,624,101,4,5,3,9,0,1,0
10,25,7,740,501,4,3,6,1,0,1,0
2,51,7,230,102,4,5,9,7,1,0,0
7,12,7,812,502,2,1,5,7,1,0,0
2,44,7,354,502,4,0,30,5,0,1,0
16,30,7,354,710,4,0,3,10,0,1,0
8,33,12,956,501,4,3,12,5,1,0,0
3,21,17,850,502,4,2,30,3,1,0,0
6,24,17,354,502,4,1,10,5,0,1,0
11,17,7,624,102,4,2,18,5,0,1,0
1,31,7,763,101,4,1,26,4,1,0,0
15,25,17,354,502,4,4,18,2,0,1,0
7,21,18,442,203,1,5,19,11,0,0,1
19,32,7,901,501,2,1,18,10,1,0,0
19,34,12,520,101,4,2,19,1,0,1,0
13,34,7,310,203,4,0,14,3,1,0,0
19,43,7,901,502,2,6,16,10,1,0,0
1,30,2,341,502,4,2,19,10,0,1,0
2,32,17,930,203,4,1,31,5,0,1,0
13,30,7,354,750,4,2,2,11,1,0,0
11,48,7,330,101,4,3,21,7,0,1,0
21,54,18,668,203,4,4,30,9,0,1,0
4,29,12,236,101,5,2,16,2,1,0,0
19,37,7,740,122,4,0,14,3,1,0,0
6,49,17,662,502,4,4,22,7,1,0,0
1,41,17,230,102,4,5,10,12,0,1,0
6,59,17,210,101,4,4,21,10,0,1,0
11,26,7,230,501,1,2,21,12,0,1,0
16,58,7,331,108,4,2,30,11,1,0,0
2,59,7,745,502,4,3,2,6,1,0,0
8,38,2,624,203,4,3,4,8,1,0,0
16,30,12,900,501,4,1,29,3,1,0,0
1,49,10,330,502,4,2,27,7,1,0,0
19,49,7,331,101,4,3,11,8,0,1,0
13,30,7,901,501,4,0,22,8,1,0,0
3,62,2,740,501,4,3,14,4,1,0,0
21,45,7,331,101,4,4,15,4,0,1,0
8,28,17,354,501,4,1,19,7,0,1,0
1,32,7,930,502,4,4,2,9,0,1,0
4,23,7,626,501,4,2,6,4,1,0,0
1,68,17,626,501,4,6,25,12,0,1,0
3,36,7,624,502,2,0,24,10,1,0,0
20,25,2,310,717,4,1,31,5,1,0,0
15,28,17,932,502,1,5,4,6,0,1,0
2,34,2,354,502,4,0,4,4,1,0,0
15,34,17,310,502,4,1,8,3,0,1,0
17,75,17,901,507,2,4,6,5,0,1,0
19,44,7,626,108,1,5,2,7,1,0,0
8,53,17,341,504,4,3,25,8,1,0,0
13,34,7,901,502,4,4,8,4,1,0,0
20,36,12,354,109,4,2,14,9,0,1,0
21,50,8,900,501,2,3,16,6,1,0,0
3,21,18,442,404,2,1,7,6,0,0,1
2,58,7,888,701,4,2,5,10,0,1,0
6,53,1,440,502,4,3,25,8,0,1,0
2,38,7,624,101,4,1,29,11,0,1,0
15,30,17,330,122,4,6,27,3,0,1,0
1,27,12,354,203,4,2,9,2,0,1,0
13,47,10,330,101,4,0,16,5,0,1,0
19,33,7,626,502,2,1,14,6,1,0,0
20,60,10,310,502,4,3,26,5,0,1,0
21,15,17,627,108,1,0,4,7,1,0,0
3,24,2,354,502,4,3,3,2,1,0,0
10,32,7,626,501,2,0,12,9,0,1,0
20,35,1,740,122,1,5,14,5,0,1,0
7,32,17,121,502,4,4,18,3,1,0,0
20,63,17,624,109,4,3,22,12,0,1,0
6,64,18,354,501,4,3,20,1,1,0,0
13,25,7,624,108,4,4,19,8,1,0,0
21,75,17,740,501,4,3,30,6,1,0,0
15,68,17,354,501,4,0,28,3,0,1,0
14,47,7,624,101,4,2,26,1,0,1,0
2,29,2,354,502,4,2,16,11,1,0,0
21,48,7,626,502,1,6,5,6,1,0,0
3,55,2,354,501,4,0,3,10,0,1,0
8,55,9,331,101,4,4,9,9,0,1,0
4,61,3,331,101,4,6,5,6,0,1,0
19,62,17,354,501,4,4,26,8,0,1,0
3,45,2,440,501,1,1,9,8,1,0,0
15,37,2,625,108,4,1,21,6,0,1,0
11,54,7,930,701,1,2,5,10,0,1,0
15,25,17,310,502,4,0,25,7,0,1,0
20,24,7,230,102,1,2,13,4,0,1,0
3,25,1,341,501,4,2,7,12,1,0,0
3,28,12,480,502,4,4,18,2,1,0,0
17,25,17,626,502,2,1,7,6,1,0,0
20,37,7,626,502,1,6,27,2,0,1,0
7,35,12,661,501,4,2,20,7,1,0,0
20,54,7,624,102,4,3,17,2,0,1,0
15,51,17,740,501,4,3,20,10,0,1,0
21,35,18,310,403,4,2,6,7,0,1,0
17,58,17,354,501,4,3,3,11,0,1,0
13,63,2,440,158,4,5,10,9,0,1,0
1,22,17,331,707,4,6,18,9,1,0,0
15,24,7,310,742,4,4,2,12,0,1,0
17,29,2,354,501,4,4,1,4,1,0,0
16,24,7,331,101,4,0,16,5,1,0,0
1,69,1,626,502,2,3,24,11,1,0,0
2,31,7,210,101,2,4,26,8,0,1,0
3,21,18,480,102,4,1,3,5,0,0,1
6,32,7,740,502,4,0,31,1,0,1,0
20,29,17,330,101,4,4,28,1,0,1,0
1,27,2,110,102,4,6,3,7,0,1,0
11,28,7,341,714,2,4,29,4,1,0,0
14,29,17,946,103,4,4,13,5,1,0,0
15,66,17,354,101,4,1,8,3,0,1,0
16,42,2,341,501,4,5,27,8,1,0,0
21,46,17,440,119,4,5,15,10,0,1,0
6,26,2,310,501,1,4,17,6,1,0,0
11,37,7,210,101,4,4,15,7,0,1,0
17,49,7,626,501,1,5,26,2,1,0,0
9,57,2,354,502,4,4,4,2,1,0,0
7,36,1,888,501,4,2,16,11,0,1,0
10,31,7,331,501,4,1,1,11,1,0,0
15,34,7,354,501,4,0,3,10,1,0,0
7,33,17,350,101,4,3,24,3,0,1,0
7,38,17,310,501,4,5,24,9,0,1,0
13,48,7,230,801,1,1,12,7,1,0,0
2,23,7,740,122,4,1,22,2,1,0,0
3,26,7,230,742,1,6,2,10,0,1,0
1,23,2,121,101,4,2,2,11,1,0,0
15,52,17,310,502,4,2,13,4,1,0,0
6,20,17,624,101,4,5,29,1,0,1,0
6,21,17,626,502,1,1,19,4,1,0,0
17,69,12,230,102,4,5,16,7,1,0,0
8,20,17,888,502,2,2,9,3,1,0,0
9,34,17,354,501,4,6,6,11,0,1,0
3,21,18,210,401,4,2,28,12,0,0,1
6,39,17,624,502,2,0,14,2,1,0,0
2,15,7,230,101,4,6,23,1,0,1,0
16,22,7,420,104,4,1,27,12,0,1,0
14,22,17,740,101,4,6,31,7,0,1,0
16,58,17,331,104,4,5,27,8,0,1,0
15,27,12,740,104,4,1,24,5,0,1,0
17,61,17,888,501,4,6,19,2,1,0,0
8,61,7,331,104,4,0,3,1,0,1,0
6,26,2,330,102,4,5,17,9,0,1,0
20,38,17,331,101,4,2,9,11,0,1,0
4,35,7,210,108,1,0,7,11,0,1,0
16,41,7,888,502,4,1,15,2,1,0,0
21,45,7,354,502,4,4,15,7,1,0,0
